,Year,Gender,Immigrants
503,2014,Male,424
504,2014,Male,176
505,2014,Male,847
506,2014,Male,307
507,2014,Male,964
508,2014,Male,432
509,2014,Male,468
510,2014,Male,534
511,2014,Female,1877
512,2014,Female,791
513,2014,Female,618
514,2014,Female,1041
515,2014,Female,907
516,2014,Female,1519
517,2014,Female,1481
518,2014,Female,1375
519,2014,Female,1709
520,2014,Female,1051
521,2014,Female,1199
522,2014,Female,17
523,2014,Female,628
524,2014,Female,280
525,2014,Female,535
526,2014,Female,433
527,2014,Female,688
528,2014,Female,1203
529,2014,Female,1054
530,2014,Female,696
531,2014,Female,328
532,2014,Female,110
533,2014,Female,558
534,2014,Female,402
535,2014,Female,565
536,2014,Female,1129
537,2014,Female,710
538,2014,Female,328
539,2014,Female,186
540,2014,Female,302
541,2014,Female,1666
542,2014,Female,740
543,2014,Female,508
544,2014,Female,181
545,2014,Female,730
546,2014,Female,112
547,2014,Female,523
548,2014,Female,216
549,2014,Female,113
550,2014,Female,98
551,2014,Female,83
552,2014,Female,5
553,2014,Female,487
554,2014,Female,486
555,2014,Female,478
556,2014,Female,383
557,2014,Female,23
558,2014,Female,237
559,2014,Female,70
560,2014,Female,422
561,2014,Female,320
562,2014,Female,459
563,2014,Female,148
564,2014,Female,57
565,2014,Female,326
566,2014,Female,35
567,2014,Female,262
568,2014,Female,56
569,2014,Female,252
570,2014,Female,892
571,2014,Female,663
572,2014,Female,299
573,2014,Female,460
574,2014,Female,956
575,2014,Female,584
576,2014,Female,372
577,2014,Female,190
578,2014,Female,730
579,2014,Female,302
580,2014,Female,648
581,2014,Female,410
582,2014,Female,496
583,2014,Female,562
584,2013,Male,2817
585,2013,Male,921
586,2013,Male,665
587,2013,Male,943
588,2013,Male,782
589,2013,Male,1173
590,2013,Male,1103
591,2013,Male,1200
592,2013,Male,1477
593,2013,Male,1002
594,2013,Male,1361
595,2013,Male,20
596,2013,Male,614
597,2013,Male,302
598,2013,Male,499
599,2013,Male,437
600,2013,Male,686
601,2013,Male,1145
602,2013,Male,942
603,2013,Male,540
604,2013,Male,316
605,2013,Male,74
606,2013,Male,468
607,2013,Male,374
608,2013,Male,474
609,2013,Male,828
610,2013,Male,537
611,2013,Male,287
612,2013,Male,140
613,2013,Male,239
614,2013,Male,1324
615,2013,Male,622
616,2013,Male,476
617,2013,Male,165
618,2013,Male,618
619,2013,Male,102
620,2013,Male,574
621,2013,Male,195
622,2013,Male,120
623,2013,Male,99
624,2013,Male,88
625,2013,Male,12
626,2013,Male,468
627,2013,Male,438
628,2013,Male,443
629,2013,Male,351
630,2013,Male,49
631,2013,Male,177
632,2013,Male,82
633,2013,Male,376
634,2013,Male,249
635,2013,Male,458
636,2013,Male,162
637,2013,Male,68
638,2013,Male,389
639,2013,Male,21
640,2013,Male,387
641,2013,Male,84
642,2013,Male,289
643,2013,Male,770
644,2013,Male,550
645,2013,Male,239
646,2013,Male,361
647,2013,Male,829
648,2013,Male,542
649,2013,Male,435
650,2013,Male,175
651,2013,Male,718
652,2013,Male,273
653,2013,Male,894
654,2013,Male,370
655,2013,Male,464
656,2013,Male,475
657,2013,Female,1716
658,2013,Female,751
659,2013,Female,540
660,2013,Female,882
661,2013,Female,815
662,2013,Female,1359
663,2013,Female,1240
664,2013,Female,1272
665,2013,Female,1520
666,2013,Female,997
667,2013,Female,1097
668,2013,Female,17
669,2013,Female,600
670,2013,Female,297
671,2013,Female,466
672,2013,Female,423
673,2013,Female,715
674,2013,Female,1084
675,2013,Female,973
676,2013,Female,605
677,2013,Female,309
678,2013,Female,79
679,2013,Female,527
680,2013,Female,370
681,2013,Female,547
682,2013,Female,961
683,2013,Female,644
684,2013,Female,304
685,2013,Female,159
686,2013,Female,283
687,2013,Female,1527
688,2013,Female,710
689,2013,Female,519
690,2013,Female,175
691,2013,Female,706
692,2013,Female,105
693,2013,Female,535
694,2013,Female,203
695,2013,Female,161
696,2013,Female,130
697,2013,Female,86
698,2013,Female,7
699,2013,Female,462
