,Year,District Name,Age,Immigrants
197,2017,Nou Barris,10-14,42
198,2017,Nou Barris,10-14,21
199,2017,Nou Barris,10-14,39
200,2017,Nou Barris,10-14,21
201,2017,Nou Barris,10-14,6
202,2017,Nou Barris,10-14,31
203,2017,Nou Barris,10-14,3
204,2017,Sant Andreu,10-14,28
205,2017,Sant Andreu,10-14,4
206,2017,Sant Andreu,10-14,26
207,2017,Sant Andreu,10-14,55
208,2017,Sant Andreu,10-14,47
209,2017,Sant Andreu,10-14,16
210,2017,Sant Andreu,10-14,36
211,2017,Sant Martí,10-14,46
212,2017,Sant Martí,10-14,32
213,2017,Sant Martí,10-14,19
214,2017,Sant Martí,10-14,8
215,2017,Sant Martí,10-14,44
216,2017,Sant Martí,10-14,27
217,2017,Sant Martí,10-14,86
218,2017,Sant Martí,10-14,26
219,2017,Sant Martí,10-14,28
220,2017,Sant Martí,10-14,44
221,2017,No consta,10-14,0
222,2017,Ciutat Vella,15-19,257
223,2017,Ciutat Vella,15-19,90
224,2017,Ciutat Vella,15-19,44
225,2017,Ciutat Vella,15-19,210
226,2017,Eixample,15-19,87
227,2017,Eixample,15-19,148
228,2017,Eixample,15-19,107
229,2017,Eixample,15-19,109
230,2017,Eixample,15-19,153
231,2017,Eixample,15-19,91
232,2017,Sants-Montjuïc,15-19,173
233,2017,Sants-Montjuïc,15-19,1
234,2017,Sants-Montjuïc,15-19,123
235,2017,Sants-Montjuïc,15-19,29
236,2017,Sants-Montjuïc,15-19,54
237,2017,Sants-Montjuïc,15-19,41
238,2017,Sants-Montjuïc,15-19,67
239,2017,Sants-Montjuïc,15-19,120
240,2017,Les Corts,15-19,116
241,2017,Les Corts,15-19,44
242,2017,Les Corts,15-19,66
243,2017,Sarrià-Sant Gervasi,15-19,5
244,2017,Sarrià-Sant Gervasi,15-19,76
245,2017,Sarrià-Sant Gervasi,15-19,36
246,2017,Sarrià-Sant Gervasi,15-19,95
247,2017,Sarrià-Sant Gervasi,15-19,119
248,2017,Sarrià-Sant Gervasi,15-19,61
249,2017,Gràcia,15-19,30
250,2017,Gràcia,15-19,19
251,2017,Gràcia,15-19,77
252,2017,Gràcia,15-19,109
253,2017,Gràcia,15-19,47
254,2017,Horta-Guinardó,15-19,41
255,2017,Horta-Guinardó,15-19,19
256,2017,Horta-Guinardó,15-19,75
257,2017,Horta-Guinardó,15-19,13
258,2017,Horta-Guinardó,15-19,76
259,2017,Horta-Guinardó,15-19,24
260,2017,Horta-Guinardó,15-19,47
261,2017,Horta-Guinardó,15-19,7
262,2017,Horta-Guinardó,15-19,9
263,2017,Horta-Guinardó,15-19,4
264,2017,Horta-Guinardó,15-19,70
265,2017,Nou Barris,15-19,55
266,2017,Nou Barris,15-19,74
267,2017,Nou Barris,15-19,60
268,2017,Nou Barris,15-19,6
269,2017,Nou Barris,15-19,20
270,2017,Nou Barris,15-19,9
271,2017,Nou Barris,15-19,55
272,2017,Nou Barris,15-19,47
273,2017,Nou Barris,15-19,79
274,2017,Nou Barris,15-19,28
275,2017,Nou Barris,15-19,4
276,2017,Nou Barris,15-19,55
277,2017,Nou Barris,15-19,3
278,2017,Sant Andreu,15-19,48
279,2017,Sant Andreu,15-19,5
280,2017,Sant Andreu,15-19,45
281,2017,Sant Andreu,15-19,74
282,2017,Sant Andreu,15-19,55
283,2017,Sant Andreu,15-19,35
284,2017,Sant Andreu,15-19,47
285,2017,Sant Martí,15-19,64
286,2017,Sant Martí,15-19,51
287,2017,Sant Martí,15-19,83
288,2017,Sant Martí,15-19,15
289,2017,Sant Martí,15-19,54
290,2017,Sant Martí,15-19,31
291,2017,Sant Martí,15-19,111
292,2017,Sant Martí,15-19,31
293,2017,Sant Martí,15-19,48
294,2017,Sant Martí,15-19,64
295,2017,No consta,15-19,0
296,2017,Ciutat Vella,20-24,864
297,2017,Ciutat Vella,20-24,493
298,2017,Ciutat Vella,20-24,342
299,2017,Ciutat Vella,20-24,458
300,2017,Eixample,20-24,324
301,2017,Eixample,20-24,537
302,2017,Eixample,20-24,458
303,2017,Eixample,20-24,521
304,2017,Eixample,20-24,552
305,2017,Eixample,20-24,359
306,2017,Sants-Montjuïc,20-24,429
307,2017,Sants-Montjuïc,20-24,6
308,2017,Sants-Montjuïc,20-24,177
309,2017,Sants-Montjuïc,20-24,82
310,2017,Sants-Montjuïc,20-24,169
311,2017,Sants-Montjuïc,20-24,112
312,2017,Sants-Montjuïc,20-24,201
313,2017,Sants-Montjuïc,20-24,420
314,2017,Les Corts,20-24,273
315,2017,Les Corts,20-24,182
316,2017,Les Corts,20-24,57
317,2017,Sarrià-Sant Gervasi,20-24,12
318,2017,Sarrià-Sant Gervasi,20-24,96
319,2017,Sarrià-Sant Gervasi,20-24,65
320,2017,Sarrià-Sant Gervasi,20-24,126
321,2017,Sarrià-Sant Gervasi,20-24,229
322,2017,Sarrià-Sant Gervasi,20-24,173
323,2017,Gràcia,20-24,110
324,2017,Gràcia,20-24,53
325,2017,Gràcia,20-24,87
326,2017,Gràcia,20-24,473
327,2017,Gràcia,20-24,239
328,2017,Horta-Guinardó,20-24,151
329,2017,Horta-Guinardó,20-24,53
330,2017,Horta-Guinardó,20-24,234
331,2017,Horta-Guinardó,20-24,33
332,2017,Horta-Guinardó,20-24,200
333,2017,Horta-Guinardó,20-24,73
334,2017,Horta-Guinardó,20-24,42
335,2017,Horta-Guinardó,20-24,27
336,2017,Horta-Guinardó,20-24,14
337,2017,Horta-Guinardó,20-24,6
338,2017,Horta-Guinardó,20-24,123
339,2017,Nou Barris,20-24,122
340,2017,Nou Barris,20-24,161
341,2017,Nou Barris,20-24,109
342,2017,Nou Barris,20-24,4
343,2017,Nou Barris,20-24,53
344,2017,Nou Barris,20-24,14
345,2017,Nou Barris,20-24,152
346,2017,Nou Barris,20-24,88
347,2017,Nou Barris,20-24,164
348,2017,Nou Barris,20-24,64
349,2017,Nou Barris,20-24,10
350,2017,Nou Barris,20-24,113
351,2017,Nou Barris,20-24,4
352,2017,Sant Andreu,20-24,80
353,2017,Sant Andreu,20-24,18
354,2017,Sant Andreu,20-24,83
355,2017,Sant Andreu,20-24,198
356,2017,Sant Andreu,20-24,161
357,2017,Sant Andreu,20-24,81
358,2017,Sant Andreu,20-24,109
359,2017,Sant Martí,20-24,298
360,2017,Sant Martí,20-24,175
361,2017,Sant Martí,20-24,171
362,2017,Sant Martí,20-24,28
363,2017,Sant Martí,20-24,165
364,2017,Sant Martí,20-24,47
365,2017,Sant Martí,20-24,271
366,2017,Sant Martí,20-24,93
367,2017,Sant Martí,20-24,110
368,2017,Sant Martí,20-24,130
369,2017,No consta,20-24,0
370,2017,Ciutat Vella,25-29,1393
371,2017,Ciutat Vella,25-29,763
372,2017,Ciutat Vella,25-29,482
373,2017,Ciutat Vella,25-29,795
374,2017,Eixample,25-29,556
375,2017,Eixample,25-29,912
376,2017,Eixample,25-29,788
377,2017,Eixample,25-29,927
378,2017,Eixample,25-29,1092
379,2017,Eixample,25-29,655
380,2017,Sants-Montjuïc,25-29,780
381,2017,Sants-Montjuïc,25-29,0
382,2017,Sants-Montjuïc,25-29,228
383,2017,Sants-Montjuïc,25-29,177
384,2017,Sants-Montjuïc,25-29,321
385,2017,Sants-Montjuïc,25-29,200
